ZonăApartament,id,NumarAnunturi,PretMediu,PretMinim,PretMaxim,MetriPartrati_InMedie,PretMediu_MetruPatrat
"Timisoara, zona Complex Studentesc",16,126,39902.2619,19000,82000,23.785714285714285,1676.4705882352941
"Timisoara, zona Lipovei",58,59,47094.5593,24000,70000,28.974576303514382,1463.8226776813724
"Timisoara, zona Blascovici",207,59,33021.5254,25000,52000,22.74576271186441,1333.3333333333333
"Timisoara, zona Cetatii",271,3,53443.3333,41000,70830,35.15999984741211,1385.7142857142858
"Timisoara, zona Aradului",280,35,52425.4286,19500,109900,30.123142814636232,1713.888888888889
"Timisoara, zona Fabric",407,5,47060.0,30000,85000,34.0,1574.0740740740741
"Timisoara, zona Telegrafului",694,21,41151.9048,32000,65500,23.428571428571427,1727.2727272727273
"Timisoara, zona Iosefin",895,15,49168.9333,25800,88989,36.60333302815755,1590.909090909091
"Timisoara, zona Torontalului",994,10,61134.4,50385,70500,40.623299789428714,1288.9485751681264
"Timisoara, zona Elisabetin",2556,3,45833.3333,35000,52500,30.0,1562.5
"Timisoara, zona Dorobantilor",3242,3,31999.6667,24999,36000,18.333333333333332,1666.6666666666667
