ZonăApartament,id,NumarAnunturi,PretMediu,PretMinim,PretMaxim,MetriPartrati_InMedie,PretMediu_MetruPatrat
"Timisoara, zona Complex Studentesc",427,6,162083.1667,97000,267000,93.5,1764.2857142857142
"Timisoara, zona Aradului",491,28,126353.1786,85500,185000,88.25714274815151,1850.0
"Timisoara, zona Dorobantilor",523,16,143973.6875,104000,169000,119.3125,1172.6618705035971
"Timisoara, zona Lipovei",798,25,118895.56,78000,225000,82.34399993896484,1174.1176470588234
"Timisoara, zona Fabric",889,6,107166.6667,101000,120000,94.5,1188.888888888889
"Timisoara, zona Telegrafului",1149,3,84000.0,69000,98000,92.0,904.2553191489362
"Timisoara, zona Cetatii",1400,6,87330.0,77000,125000,55.166666666666664,1509.8039215686274
"Timisoara, zona Torontalului",4008,3,155000.0,95000,265000,109.73333231608073,1741.1301268955813
"Timisoara, zona Iosefin",4374,3,233299.6667,199900,300000,156.75,1098.3516483516485
"Timisoara, zona Elisabetin",5294,3,160666.6667,82000,250000,139.0,1223.8805970149253
